,make,model,year,transmission,fuel_type,mileage,price,platform
5000,TOYOTA,Innova,2017,AUTOMATIC,Gasoline,30000.0,858000,philkotse
5001,KIA,Sportage,2013,AUTOMATIC,Diesel,55000.0,167400,philkotse
5002,HONDA,BR-V,2019,AUTOMATIC,Gasoline,25000.0,788000,philkotse
5003,TOYOTA,Wigo,2020,AUTOMATIC,Gasoline,14000.0,469000,philkotse
5004,MITSUBISHI,Montero Sport,2017,AUTOMATIC,Diesel,36000.0,1058000,philkotse
5005,FORD,EcoSport,2018,AUTOMATIC,Gasoline,12000.0,111600,philkotse
5006,FORD,Focus Sedan,2008,AUTOMATIC,Gasoline,60000.0,107200,philkotse
5007,MITSUBISHI,Xpander,2019,AUTOMATIC,Gasoline,23000.0,165600,philkotse
5008,MITSUBISHI,Mirage,2017,AUTOMATIC,Gasoline,55000.0,134400,philkotse
5009,FORD,Ranger,2020,AUTOMATIC,Diesel,20000.0,1138000,philkotse
5010,FORD,Everest,2016,AUTOMATIC,Diesel,85000.0,888000,philkotse
5011,CHEVROLET,Colorado,2014,AUTOMATIC,Gasoline,28000.0,4778000,philkotse
5012,KIA,Soul,2017,AUTOMATIC,Diesel,45000.0,588000,philkotse
5013,KIA,Sportage,2013,AUTOMATIC,Diesel,55000.0,167400,philkotse
5014,SUBARU,Legacy,2012,AUTOMATIC,Gasoline,50000.0,150000,philkotse
5015,NISSAN,Urvan,2012,MANUAL,Diesel,80000.0,130000,philkotse
5016,KIA,Picanto,2016,MANUAL,Gasoline,30000.0,100000,philkotse
5017,TOYOTA,Hiace,2003,MANUAL,Diesel,100000.0,120000,philkotse
5018,FORD,Escape,2011,AUTOMATIC,Gasoline,20000.0,140000,philkotse
5019,SUZUKI,Ciaz,2018,MANUAL,Gasoline,40000.0,120000,philkotse
5020,HONDA,City,2018,AUTOMATIC,Gasoline,50000.0,200000,philkotse
5021,MITSUBISHI,Xpander,2019,AUTOMATIC,Gasoline,25000.0,769000,philkotse
5022,AUDI,A4,2009,AUTOMATIC,Gasoline,100000.0,150000,philkotse
5023,PEUGEOT,301,2015,AUTOMATIC,Gasoline,80000.0,120000,philkotse
5024,TOYOTA,Fortuner,2020,AUTOMATIC,Diesel,25000.0,1329000,philkotse
5025,TOYOTA,Vios,2022,AUTOMATIC,Gasoline,3129.0,669000,philkotse
5026,NISSAN,Terra,2019,MANUAL,Diesel,16000.0,899000,philkotse
5027,MITSUBISHI,Mirage G4,2019,AUTOMATIC,Gasoline,37000.0,449000,philkotse
5028,TOYOTA,Vios,2017,AUTOMATIC,Gasoline,36000.0,449000,philkotse
5029,NISSAN,Almera,2020,MANUAL,Gasoline,27000.0,369000,philkotse
5030,MITSUBISHI,Mirage G4,2018,MANUAL,Gasoline,43000.0,319000,philkotse
5031,TOYOTA,Rush,2021,AUTOMATIC,Gasoline,15000.0,899000,philkotse
5032,TOYOTA,Hiace,2020,MANUAL,Diesel,12000.0,1019000,philkotse
5033,TOYOTA,Fortuner,2021,AUTOMATIC,Diesel,16000.0,1549000,philkotse
5034,MITSUBISHI,Strada,2019,AUTOMATIC,Diesel,32000.0,859000,philkotse
5035,MITSUBISHI,L300,2022,MANUAL,Diesel,22000.0,839000,philkotse
5036,TOYOTA,Hiace,2021,MANUAL,Diesel,13000.0,1099000,philkotse
5037,TOYOTA,Hiace,2021,MANUAL,Diesel,13000.0,1099000,philkotse
5038,TOYOTA,Hilux,2020,MANUAL,Diesel,17000.0,1019000,philkotse
5039,TOYOTA,Fortuner,2022,AUTOMATIC,Diesel,6000.0,1649000,philkotse
5040,FORD,Ranger,2022,AUTOMATIC,Diesel,5000.0,224735,philkotse
5041,TOYOTA,Vios,2018,AUTOMATIC,Gasoline,43000.0,449000,philkotse
5042,BMW,X5,2019,AUTOMATIC,Diesel,46000.0,3499000,philkotse
5043,CHEVROLET,Orlando,2014,AUTOMATIC,Gasoline,28000.0,143400,philkotse
5044,KIA,Soul,2017,AUTOMATIC,Diesel,45000.0,588000,philkotse
5045,TOYOTA,Avanza,2016,MANUAL,Gasoline,48000.0,161400,philkotse
5046,HONDA,Mobilio,2015,AUTOMATIC,Gasoline,56000.0,167400,philkotse
5047,KIA,Sportage,2013,AUTOMATIC,Diesel,55000.0,167400,philkotse
5048,FORD,Focus Sedan,2008,AUTOMATIC,Gasoline,60000.0,107200,philkotse
5049,FORD,Ranger,2022,AUTOMATIC,Diesel,5000.0,224735,philkotse
5050,HONDA,BR-V,2018,AUTOMATIC,Gasoline,19000.0,788000,philkotse
5051,MAZDA,CX-9,2013,AUTOMATIC,Gasoline,43000.0,690000,philkotse
5052,KIA,Soul,2017,AUTOMATIC,Diesel,45000.0,176000,philkotse
5053,FORD,Everest,2016,AUTOMATIC,Diesel,85000.0,266000,philkotse
5054,TOYOTA,Camry,2013,AUTOMATIC,Gasoline,51000.0,188000,philkotse
5055,TOYOTA,Innova,2008,MANUAL,Diesel,109000.0,448000,philkotse
5056,MITSUBISHI,L300,2018,MANUAL,Diesel,48000.0,525000,philkotse
5057,HONDA,CR-V,2015,AUTOMATIC,Gasoline,68000.0,172000,philkotse
5058,FORD,Ranger,2019,AUTOMATIC,Gasoline,23916.0,1048000,philkotse
5059,NISSAN,Navara,2019,AUTOMATIC,Gasoline,24361.0,848000,philkotse
5060,SUBARU,WRX,2015,AUTOMATIC,Gasoline,67000.0,247000,philkotse
5061,TOYOTA,Avanza,2015,AUTOMATIC,Gasoline,77000.0,155000,philkotse
5062,SUBARU,WRX,2015,AUTOMATIC,Gasoline,67000.0,274000,philkotse
5063,FORD,Explorer,2013,AUTOMATIC,Gasoline,40000.0,798000,philkotse
5064,FORD,Explorer,2017,AUTOMATIC,Gasoline,46000.0,1358000,philkotse
5065,TOYOTA,Hilux,2019,AUTOMATIC,Diesel,37000.0,1298000,philkotse
5066,HYUNDAI,Grand Starex,2015,AUTOMATIC,Diesel,45000.0,848000,philkotse
5067,HYUNDAI,Tucson,2012,AUTOMATIC,Diesel,67000.0,455000,philkotse
5068,MITSUBISHI,Strada,2018,AUTOMATIC,Diesel,45000.0,848000,philkotse
5069,NISSAN,Juke,2018,AUTOMATIC,Gasoline,33000.0,206000,philkotse
5070,HONDA,City,2019,AUTOMATIC,Gasoline,29000.0,195000,philkotse
5071,TOYOTA,Tundra,2018,AUTOMATIC,Gasoline,27000.0,6450000,philkotse
5072,FORD,Everest,2017,AUTOMATIC,Diesel,57000.0,1100000,philkotse
5073,HONDA,CR-V,2015,AUTOMATIC,Gasoline,68000.0,658000,philkotse
5074,NISSAN,Navara,2022,AUTOMATIC,Diesel,11000.0,196000,philkotse
5075,TOYOTA,Avanza,2012,AUTOMATIC,Gasoline,104000.0,146400,philkotse
